,Name,RA,Dec,Type,Date,Dist,Catalog
0,GRB 180720B,00 02 07.6,-02 56 06,GRB,2019.05,z = 0.654,Default Catalog
1,CTA 1,00 06 26,+72 59 01.0,PWN,2011.1,1.4 kpc,Default Catalog
2,SHBL J001355.9-185406,00 13 52.0,-18 53 29,HBL,2010.11,z = 0.095,Default Catalog
3,Tycho,00 25 21.6,+64 07 48,Shell,2010.05,3.5 kpc,Default Catalog
4,KUV 00311-1938,00 33 36,-19 21 00,HBL,2012.07,,Default Catalog
5,1ES 0033+595,00 35 16.8,+59 47 24.0,HBL,2011.1,z = 0.467,Default Catalog
6,NGC 253,00 47 32.54,-25 17 25.4,Starburst,2009.07,2500 kpc,Default Catalog
7,S2 0109+22,01 12 05.8,+22 44 39,IBL,2015.07,,Default Catalog
8,RGB J0136+391,01 36 32.5,+39 06 00,HBL,2012.07,,Newly Announced
9,RGB J0152+017,01 52 33.5,+01 46 40.3,HBL,2008.02,z = 0.08,Default Catalog
10,3C 58,02 05 31,+64 51 00,PWN,2014.05,2 kpc,Default Catalog
11,TXS 0210+515,02 14 17.9,+51 44 52,HBL,2019.01,z = 0.049,Default Catalog
12,S3 0218+35,02 21 05.5,+35 56 14,FSRQ,2014.07,z = 0.954,Default Catalog
13,3C 66A,02 22 41.6,+43 02 35.5,IBL,1998.03,z = 0.34,Default Catalog
14,MAGIC J0223+403,02 23 12,+43 00 42,UNID,2009.02,,Default Catalog
15,1ES 0229+200,02 32 53.2,+20 16 21,HBL,2006.12,z = 0.1396,Default Catalog
16,1RXS J023832.6-311658,02 38 32.5,-31 16 58,HBL,2017.07,z = 0.232,Newly Announced
17,LS I +61 303,02 40 34,+61 15 25,Binary,2006.06,2 kpc,Default Catalog
18,GRB 190829A,02 58 10.51,-08 57 28.1,GRB,2019.08,z = 0.0785,Newly Announced
19,PKS 0301-243,03 03 23.49,-24 07 35.86,HBL,2012.07,z = 0.2657,Default Catalog
20,IC 310,03 16 43.0,+41 19 29,AGN (unknown type),2010.03,z = 0.0189,Default Catalog
21,RBS 0413,03 19 47,+18 45 42,HBL,2009.1,z = 0.19,Default Catalog
22,NGC 1275,03 19 48.1,+41 30 42,FRI,2010.1,z = 0.017559,Default Catalog
23,GRB 190114C,03 38 01.17,-26 56 46.73,GRB,2019.01,z = 0.4245,Default Catalog
24,1ES 0347-121,03 49 23.0,-11 58 38,HBL,2007.08,z = 0.188,Default Catalog
25,1ES 0414+009,04 16 52.96,+01 05 20.4,HBL,2009.11,z = 0.287,Default Catalog
26,PKS 0447-439,04 49 28.2,-43 50 12,HBL,2009.12,z = 0.343,Default Catalog
27,1ES 0502+675,05 07 56.2,+67 37 24,HBL,2009.11,z = 0.34,Newly Announced
28,TXS 0506+056,05 09 25,+05 42 09,Blazar,2017.1,z = 0.3365,Default Catalog
29,VER J0521+211,05 21 45,+21 12 51.4,IBL,2009.1,,Default Catalog
30,LMC N132D,05 25 02.20,-69 38 39.0,SNR/Molec. Cloud,2014.1,50 kpc,Default Catalog
31,Crab,05 34 30.9,+22 00 44.5,PWN,1989.07,2 kpc,Default Catalog
32,Crab Pulsar,05 34 31.9,+22 00 52.2,PSR,2008.11,2 kpc,Default Catalog
33,30 Dor C,05 35 55,-69 11 10,Superbubble,2014.1,50 kpc,Default Catalog
34,LMC P3,05 36 00,-67 35 11,Binary,2017.06,,Default Catalog
35,LHA 120-N 157B,05 37 44,-69 09 57,PWN,2012.01,50 kpc,Default Catalog
36,HAWC J0543+233,05 43 07.2,+23 24 00,TeV Halo,2017.11,,Newly Announced
37,PKS 0548-322,05 50 38.4,-32 16 12.9,HBL,2007.07,z = 0.069,Default Catalog
38,IC 443,06 16 51,+22 30 11,Shell,2007.05,1.5 kpc,Default Catalog
39,PKS 0625-35,06 26 58.2,-35 29 50,AGN (unknown type),2015.07,z = 0.05486,Default Catalog
40,Geminga,06 32 28,+17 22 00,PWN/TeV Halo,2009.04,0.25 kpc,Default Catalog
41,HESS J0632+057,06 33 00.8,+05 47 39,Binary,2007.07,1.4 kpc,Default Catalog
42,Geminga Pulsar,06 33 54.153,+17 46 12.91,PSR,2018.06,0.25 kpc,Newly Announced
43,HAWC J0635+070,06 34 50.4,+07 00 00,TeV Halo,2018.09,,Newly Announced
44,RX J0648.7+1516,06 48 45.6,+15 16 12,HBL,2010.03,z = 0.179,Default Catalog
45,1ES 0647+250,06 50 46.5,+25 03 00,HBL,2011.09,,Newly Announced
46,2HWC J0700+143,07 00 28.8,+14 19 12,TeV Halo,2017.02,,Default Catalog
